GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0021500001,2015-10-27,2015-16,ATL,DET,1,0,37,82,8,27,12,15,15,94,7,33,mid
0021500002,2015-10-27,2015-16,CLE,CHI,0,0,38,94,9,29,10,17,11,95,11,39,mid
0021500003,2015-10-27,2015-16,NOP,GSW,0,0,35,83,6,18,19,27,19,95,8,25,mid
0021500002,2015-10-27,2015-16,CHI,CLE,1,1,37,87,7,19,16,23,13,97,7,40,mid
0021500003,2015-10-27,2015-16,GSW,NOP,1,1,41,96,9,30,20,22,20,111,21,35,mid
0021500001,2015-10-27,2015-16,DET,ATL,0,1,37,96,12,29,20,26,15,106,23,36,mid
0021500005,2015-10-28,2015-16,BOS,PHI,1,1,39,85,8,24,26,27,17,112,10,31,mid
0021500011,2015-10-28,2015-16,CLE,MEM,0,1,41,84,13,29,11,17,19,106,12,42,mid
0021500015,2015-10-28,2015-16,NOP,POR,0,0,36,91,11,33,11,18,11,94,5,34,mid
0021500006,2015-10-28,2015-16,CHI,BKN,0,1,42,78,14,28,17,20,20,115,5,34,mid
0021500014,2015-10-28,2015-16,DAL,PHX,0,1,40,85,10,21,21,31,8,111,6,42,mid
0021500010,2015-10-28,2015-16,DEN,HOU,0,1,40,79,13,27,12,18,21,105,9,40,mid
0021500010,2015-10-28,2015-16,HOU,DEN,1,0,30,87,8,35,17,26,17,85,15,29,mid
0021500016,2015-10-28,2015-16,LAC,SAC,0,1,42,80,6,19,21,31,15,111,6,36,mid
0021500017,2015-10-28,2015-16,LAL,MIN,1,0,35,90,9,34,32,35,14,111,12,36,mid
0021500008,2015-10-28,2015-16,MIA,CHA,1,1,36,73,12,20,20,21,13,104,2,39,mid
0021500012,2015-10-28,2015-16,MIL,NYK,1,0,30,86,9,18,28,31,18,97,18,29,mid
0021500017,2015-10-28,2015-16,MIN,LAL,0,1,38,83,5,20,31,37,8,112,6,33,mid
0021500006,2015-10-28,2015-16,BKN,CHI,1,0,39,93,0,9,22,28,13,100,16,29,mid
0021500012,2015-10-28,2015-16,NYK,MIL,0,1,42,93,9,23,29,35,11,122,19,30,mid
0021500004,2015-10-28,2015-16,ORL,WAS,1,0,37,100,5,26,8,12,16,87,17,39,mid
0021500009,2015-10-28,2015-16,IND,TOR,0,0,32,86,9,23,26,31,13,99,8,32,mid
0021500005,2015-10-28,2015-16,PHI,BOS,0,0,34,83,7,22,20,23,24,95,14,32,mid
0021500014,2015-10-28,2015-16,PHX,DAL,1,0,34,87,6,24,21,33,18,95,13,40,mid
0021500015,2015-10-28,2015-16,POR,NOP,1,1,44,88,12,32,12,14,12,112,6,45,mid
0021500016,2015-10-28,2015-16,SAC,LAC,1,0,41,94,11,24,11,18,18,104,12,37,mid
0021500013,2015-10-28,2015-16,SAS,OKC,0,0,45,93,5,15,11,13,13,106,7,29,mid
0021500013,2015-10-28,2015-16,OKC,SAS,1,1,42,86,7,19,21,22,19,112,11,34,mid
0021500009,2015-10-28,2015-16,TOR,IND,1,1,36,80,7,18,27,39,21,106,9,41,mid
0021500007,2015-10-28,2015-16,UTA,DET,0,0,35,75,2,12,15,21,12,87,4,34,mid
0021500011,2015-10-28,2015-16,MEM,CLE,1,0,29,82,2,16,16,22,16,76,11,29,mid
0021500004,2015-10-28,2015-16,WAS,ORL,0,1,33,84,7,28,15,25,18,88,15,34,mid
0021500007,2015-10-28,2015-16,DET,UTA,1,1,30,74,7,19,25,34,12,92,8,35,mid
0021500008,2015-10-28,2015-16,CHA,MIA,0,0,33,84,6,24,22,29,9,94,11,32,mid
0021500019,2015-10-29,2015-16,ATL,NYK,0,1,42,83,10,24,18,26,16,112,7,32,mid
0021500020,2015-10-29,2015-16,DAL,LAC,0,0,35,97,6,30,12,15,13,88,14,41,mid
0021500020,2015-10-29,2015-16,LAC,DAL,1,1,38,87,8,31,20,33,8,104,8,45,mid
0021500019,2015-10-29,2015-16,NYK,ATL,1,0,38,93,6,29,19,21,21,101,16,32,mid
0021500018,2015-10-29,2015-16,IND,MEM,1,0,37,78,12,30,17,24,20,103,10,28,mid
