GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0022000001,2020-12-22,2020-21,GSW,BKN,0,0,37,99,10,33,15,23,18,99,13,34,modern
0022000001,2020-12-22,2020-21,BKN,GSW,1,1,42,92,15,35,26,32,20,125,13,44,modern
0022000002,2020-12-22,2020-21,LAC,LAL,0,1,44,93,14,40,14,19,16,116,11,29,modern
0022000002,2020-12-22,2020-21,LAL,LAC,1,0,38,81,9,29,24,31,19,109,8,37,modern
0022000003,2020-12-23,2020-21,MIL,BOS,0,0,46,90,14,35,15,18,16,121,11,41,modern
0022000003,2020-12-23,2020-21,BOS,MIL,1,1,48,101,18,40,8,11,7,122,10,27,modern
0022000004,2020-12-23,2020-21,DAL,PHX,0,0,36,85,9,37,21,26,12,102,6,33,modern
0022000004,2020-12-23,2020-21,PHX,DAL,1,1,38,79,11,30,19,27,19,106,6,42,modern
0022000010,2020-12-23,2020-21,CHA,CLE,0,0,45,90,16,44,8,15,15,114,8,24,modern
0022000010,2020-12-23,2020-21,CLE,CHA,1,1,46,87,14,30,15,20,21,121,10,40,modern
0022000011,2020-12-23,2020-21,NYK,IND,0,0,39,85,12,28,17,23,16,107,5,35,modern
0022000011,2020-12-23,2020-21,IND,NYK,1,1,46,94,8,34,21,29,13,121,10,40,modern
0022000012,2020-12-23,2020-21,MIA,ORL,0,0,42,83,7,20,16,19,22,107,7,36,modern
0022000012,2020-12-23,2020-21,ORL,MIA,1,1,42,88,10,28,19,30,18,113,11,30,modern
0022000013,2020-12-23,2020-21,WAS,PHI,0,0,39,85,13,27,16,23,20,107,5,35,modern
0022000013,2020-12-23,2020-21,PHI,WAS,1,1,41,87,8,28,23,30,18,113,10,37,modern
0022000014,2020-12-23,2020-21,NOP,TOR,0,1,42,80,19,42,10,20,27,113,8,37,modern
0022000014,2020-12-23,2020-21,TOR,NOP,1,0,38,89,14,46,9,12,21,99,7,28,modern
0022000015,2020-12-23,2020-21,ATL,CHI,0,1,43,80,14,35,24,29,23,124,8,38,modern
0022000015,2020-12-23,2020-21,CHI,ATL,1,0,36,87,8,35,24,28,17,104,8,29,modern
0022000017,2020-12-23,2020-21,SAS,MEM,0,1,48,95,10,25,25,29,11,131,8,40,modern
0022000017,2020-12-23,2020-21,MEM,SAS,1,0,49,95,10,27,11,18,11,119,5,37,modern
0022000018,2020-12-23,2020-21,DET,MIN,0,0,45,93,8,35,3,8,15,101,7,37,modern
0022000018,2020-12-23,2020-21,MIN,DET,1,1,38,88,11,41,24,28,12,111,12,36,modern
0022000019,2020-12-23,2020-21,SAC,DEN,0,1,45,102,10,31,24,31,15,124,18,36,modern
