GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0021000001,2010-10-26,2010-11,MIA,BOS,0,0,27,74,8,20,18,25,17,80,11,28,early
0021000001,2010-10-26,2010-11,BOS,MIA,1,1,32,69,8,16,16,25,20,88,8,34,early
0021000002,2010-10-26,2010-11,PHX,POR,0,0,36,74,9,19,11,16,19,92,7,23,early
0021000002,2010-10-26,2010-11,POR,PHX,1,1,43,93,10,20,10,15,15,106,18,30,early
0021000003,2010-10-26,2010-11,HOU,LAL,0,0,38,91,8,20,26,28,21,110,16,37,early
0021000003,2010-10-26,2010-11,LAL,HOU,1,1,40,96,9,21,23,28,12,112,14,30,early
0021000004,2010-10-27,2010-11,BOS,CLE,0,0,34,72,3,12,16,21,19,87,6,32,early
0021000004,2010-10-27,2010-11,CLE,BOS,1,1,36,81,6,20,17,21,15,95,8,29,early
0021000005,2010-10-27,2010-11,DET,NJN,0,0,37,83,8,19,16,30,6,98,10,27,early
0021000005,2010-10-27,2010-11,NJN,DET,1,1,39,80,6,14,17,24,12,101,9,35,early
0021000006,2010-10-27,2010-11,MIA,PHI,0,1,33,69,8,16,23,31,16,97,5,32,early
0021000006,2010-10-27,2010-11,PHI,MIA,1,0,36,83,7,18,8,11,19,87,10,28,early
0021000007,2010-10-27,2010-11,NYK,TOR,0,1,38,88,7,24,15,17,16,98,13,36,early
0021000007,2010-10-27,2010-11,TOR,NYK,1,0,36,94,3,10,18,24,12,93,12,33,early
0021000008,2010-10-27,2010-11,ATL,MEM,0,1,42,80,8,16,27,31,15,119,9,35,early
0021000008,2010-10-27,2010-11,MEM,ATL,1,0,40,86,4,9,20,25,14,104,9,30,early
0021000009,2010-10-27,2010-11,SAC,MIN,0,1,39,85,4,11,35,47,13,117,14,31,early
0021000009,2010-10-27,2010-11,MIN,SAC,1,0,43,91,8,18,22,28,13,116,11,35,early
0021000010,2010-10-27,2010-11,MIL,NOH,0,0,33,77,8,23,17,28,12,91,8,37,early
0021000010,2010-10-27,2010-11,NOH,MIL,1,1,34,79,4,17,23,29,9,95,6,38,early
0021000011,2010-10-27,2010-11,CHI,OKC,0,0,40,93,2,14,13,22,15,95,15,36,early
0021000011,2010-10-27,2010-11,OKC,CHI,1,1,32,78,4,18,38,47,12,106,9,35,early
0021000012,2010-10-27,2010-11,CHA,DAL,0,0,29,73,5,13,23,24,21,86,8,28,early
0021000012,2010-10-27,2010-11,DAL,CHA,1,1,41,75,4,15,15,18,17,101,7,34,early
0021000013,2010-10-27,2010-11,IND,SAS,0,0,41,77,8,21,19,28,23,109,9,27,early
0021000013,2010-10-27,2010-11,SAS,IND,1,1,42,83,9,20,29,36,14,122,9,26,early
0021000014,2010-10-27,2010-11,UTA,DEN,0,0,27,70,3,13,31,43,22,88,11,33,early
0021000014,2010-10-27,2010-11,DEN,UTA,1,1,35,80,6,20,34,41,16,110,12,34,early
0021000015,2010-10-27,2010-11,HOU,GSW,0,0,41,87,4,16,42,52,9,128,15,24,early
0021000015,2010-10-27,2010-11,GSW,HOU,1,1,51,92,8,20,22,26,13,132,14,31,early
0021000016,2010-10-27,2010-11,POR,LAC,0,1,36,88,8,20,18,23,14,98,21,30,early
0021000016,2010-10-27,2010-11,LAC,POR,1,0,32,79,5,18,19,30,15,88,14,27,early
0021000017,2010-10-28,2010-11,WAS,ORL,0,0,29,78,4,19,21,30,13,83,3,22,early
0021000017,2010-10-28,2010-11,ORL,WAS,1,1,43,77,8,24,18,32,21,112,11,42,early
