GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0022100001,2021-10-19,2021-22,BKN,MIL,0,0,37,84,17,32,13,23,13,104,5,39,modern
0022100001,2021-10-19,2021-22,MIL,BKN,1,1,48,105,17,45,14,18,8,127,13,41,modern
0022100002,2021-10-19,2021-22,GSW,LAL,0,1,41,93,14,39,25,30,17,121,9,41,modern
0022100002,2021-10-19,2021-22,LAL,GSW,1,0,45,95,15,42,9,19,18,114,5,40,modern
0022100003,2021-10-20,2021-22,IND,CHA,0,0,42,90,17,47,21,24,17,122,8,43,modern
0022100003,2021-10-20,2021-22,CHA,IND,1,1,46,107,13,31,18,27,8,123,12,34,modern
0022100004,2021-10-20,2021-22,CHI,DET,0,1,37,86,7,23,13,15,17,94,9,39,modern
0022100004,2021-10-20,2021-22,DET,CHI,1,0,36,90,6,28,10,13,17,88,11,36,modern
0022100005,2021-10-20,2021-22,BOS,NYK,0,0,48,117,21,57,17,23,18,134,15,41,modern
0022100005,2021-10-20,2021-22,NYK,BOS,1,1,51,105,17,45,19,27,19,138,7,48,modern
0022100006,2021-10-20,2021-22,WAS,TOR,0,1,36,81,5,27,21,26,22,98,7,44,modern
0022100006,2021-10-20,2021-22,TOR,WAS,1,0,30,97,7,34,16,22,19,83,19,35,modern
0022100007,2021-10-20,2021-22,CLE,MEM,0,0,47,93,14,38,13,18,11,121,7,29,modern
0022100007,2021-10-20,2021-22,MEM,CLE,1,1,53,100,14,33,12,12,12,132,13,40,modern
0022100008,2021-10-20,2021-22,HOU,MIN,0,0,40,88,11,33,15,22,24,106,12,29,modern
0022100008,2021-10-20,2021-22,MIN,HOU,1,1,42,87,16,38,24,31,18,124,13,33,modern
0022100009,2021-10-20,2021-22,PHI,NOP,0,1,44,85,13,25,16,20,13,117,6,41,modern
0022100009,2021-10-20,2021-22,NOP,PHI,1,0,39,93,13,30,6,9,14,97,10,34,modern
0022100010,2021-10-20,2021-22,ORL,SAS,0,0,35,86,9,29,18,23,16,97,13,31,modern
