GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0022300061,2023-10-24,2023-24,LAL,DEN,0,0,41,90,10,29,15,20,12,107,13,31,modern
0022300061,2023-10-24,2023-24,DEN,LAL,1,1,48,91,14,34,9,12,12,119,9,33,modern
0022300062,2023-10-24,2023-24,PHX,GSW,0,1,42,95,11,33,13,17,19,108,17,43,modern
0022300062,2023-10-24,2023-24,GSW,PHX,1,0,36,101,10,43,22,28,11,104,18,31,modern
0022300063,2023-10-25,2023-24,ATL,CHA,0,0,39,93,5,29,27,33,12,110,12,30,modern
0022300063,2023-10-25,2023-24,CHA,ATL,1,1,43,86,11,37,19,26,19,116,12,39,modern
0022300064,2023-10-25,2023-24,WAS,IND,0,0,44,96,9,24,23,29,14,120,11,34,modern
0022300064,2023-10-25,2023-24,IND,WAS,1,1,56,107,20,43,11,12,12,143,10,41,modern
0022300065,2023-10-25,2023-24,BOS,NYK,0,1,37,77,12,39,22,26,13,108,7,39,modern
0022300065,2023-10-25,2023-24,NYK,BOS,1,0,36,97,18,41,14,26,11,104,17,30,modern
0022300066,2023-10-25,2023-24,HOU,ORL,0,0,32,79,12,34,10,16,19,86,7,24,modern
0022300066,2023-10-25,2023-24,ORL,HOU,1,1,42,87,9,34,23,26,16,116,17,40,modern
0022300067,2023-10-25,2023-24,CLE,BKN,0,1,44,94,17,43,9,10,10,114,9,29,modern
0022300067,2023-10-25,2023-24,BKN,CLE,1,0,42,84,9,27,20,26,18,113,13,37,modern
0022300068,2023-10-25,2023-24,DET,MIA,0,0,41,92,11,32,9,15,17,102,17,39,modern
0022300068,2023-10-25,2023-24,MIA,DET,1,1,37,92,8,22,21,26,7,103,16,32,modern
0022300069,2023-10-25,2023-24,MIN,TOR,0,0,34,100,8,31,18,22,14,94,16,46,modern
0022300069,2023-10-25,2023-24,TOR,MIN,1,1,36,90,14,35,11,16,14,97,8,39,modern
0022300070,2023-10-25,2023-24,OKC,CHI,0,1,45,82,19,39,15,18,16,124,5,38,modern
0022300070,2023-10-25,2023-24,CHI,OKC,1,0,39,94,12,42,14,18,13,104,13,29,modern
0022300071,2023-10-25,2023-24,NOP,MEM,0,1,40,85,14,32,17,22,21,111,11,41,modern
0022300071,2023-10-25,2023-24,MEM,NOP,1,0,38,91,12,43,16,20,13,104,8,29,modern
0022300072,2023-10-25,2023-24,SAC,UTA,0,1,47,102,19,51,17,20,12,130,15,30,modern
0022300072,2023-10-25,2023-24,UTA,SAC,1,0,41,91,9,28,23,31,14,114,16,38,modern
0022300073,2023-10-25,2023-24,DAL,SAS,0,1,47,99,15,47,17,23,12,126,13,35,modern
0022300073,2023-10-25,2023-24,SAS,DAL,1,0,46,89,11,35,16,22,19,119,9,36,modern
0022300074,2023-10-25,2023-24,POR,LAC,0,0,44,93,10,32,13,17,18,111,15,25,modern
0022300074,2023-10-25,2023-24,LAC,POR,1,1,47,90,16,34,13,16,18,123,14,31,modern
0022300075,2023-10-26,2023-24,PHI,MIL,0,0,41,80,16,35,19,28,15,117,4,35,modern
0022300075,2023-10-26,2023-24,MIL,PHI,1,1,41,81,11,30,25,36,14,118,8,35,modern
0022300076,2023-10-26,2023-24,PHX,LAL,0,0,34,81,9,31,18,23,24,95,10,39,modern
0022300076,2023-10-26,2023-24,LAL,PHX,1,1,36,84,5,29,23,29,16,100,8,34,modern
0022300077,2023-10-27,2023-24,DET,CHA,0,1,40,88,10,30,21,25,24,111,12,41,modern
0022300077,2023-10-27,2023-24,CHA,DET,1,0,33,88,7,28,26,34,18,99,11,30,modern
0022300078,2023-10-27,2023-24,DEN,MEM,0,1,41,88,14,37,12,18,19,108,6,34,modern
0022300078,2023-10-27,2023-24,MEM,DEN,1,0,37,85,10,33,20,24,21,104,13,35,modern
0022300079,2023-10-27,2023-24,NYK,ATL,0,1,43,90,20,44,20,28,16,126,12,33,modern
0022300079,2023-10-27,2023-24,ATL,NYK,1,0,42,87,12,32,24,30,14,120,9,35,modern
0022300080,2023-10-27,2023-24,MIA,BOS,0,0,38,89,16,33,19,23,12,111,11,34,modern
0022300080,2023-10-27,2023-24,BOS,MIA,1,1,45,95,16,39,13,19,15,119,16,39,modern
0022300081,2023-10-27,2023-24,OKC,CLE,0,1,40,87,13,26,15,19,18,108,6,41,modern
0022300081,2023-10-27,2023-24,CLE,OKC,1,0,38,92,12,45,17,23,14,105,8,40,modern
0022300082,2023-10-27,2023-24,TOR,CHI,0,0,39,84,9,36,16,25,23,103,8,45,modern
0022300082,2023-10-27,2023-24,CHI,TOR,1,1,37,99,8,39,22,28,17,104,15,37,modern
0022300083,2023-10-27,2023-24,HOU,SAS,0,0,52,100,8,32,10,20,18,122,11,32,modern
0022300083,2023-10-27,2023-24,SAS,HOU,1,1,46,94,13,42,21,28,18,126,12,31,modern
0022300084,2023-10-27,2023-24,BKN,DAL,0,0,45,92,21,43,9,10,16,120,10,37,modern
0022300084,2023-10-27,2023-24,DAL,BKN,1,1,44,91,15,36,22,28,9,125,8,32,modern
0022300085,2023-10-27,2023-24,LAC,UTA,0,0,41,77,14,35,22,28,16,118,6,30,modern
0022300085,2023-10-27,2023-24,UTA,LAC,1,1,42,96,16,41,20,22,14,120,17,28,modern
0022300086,2023-10-27,2023-24,ORL,POR,0,1,36,79,9,28,21,32,14,102,10,35,modern
0022300086,2023-10-27,2023-24,POR,ORL,1,0,35,88,9,32,18,21,16,97,15,32,modern
0022300087,2023-10-27,2023-24,GSW,SAC,0,1,48,87,14,32,12,14,19,122,7,32,modern
0022300087,2023-10-27,2023-24,SAC,GSW,1,0,41,94,12,40,20,29,14,114,10,31,modern
0022300088,2023-10-28,2023-24,CHI,DET,0,0,39,93,11,28,13,16,8,102,13,20,modern
0022300088,2023-10-28,2023-24,DET,CHI,1,1,45,86,12,28,16,20,17,118,15,38,modern
0022300089,2023-10-28,2023-24,MEM,WAS,0,0,39,91,19,47,9,9,18,106,6,39,modern
0022300089,2023-10-28,2023-24,WAS,MEM,1,1,40,93,16,46,17,22,12,113,11,34,modern
