GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0021100001,2011-12-25,2011-12,BOS,NYK,0,0,39,76,2,5,24,31,19,104,13,28,early
0021100001,2011-12-25,2011-12,NYK,BOS,1,1,35,74,9,20,27,34,16,106,8,23,early
0021100002,2011-12-25,2011-12,MIA,DAL,0,1,38,78,4,7,25,36,23,105,15,36,early
0021100002,2011-12-25,2011-12,DAL,MIA,1,0,31,82,9,28,23,30,17,94,8,23,early
0021100003,2011-12-25,2011-12,CHI,LAL,0,1,36,89,7,15,9,14,14,88,16,25,early
0021100003,2011-12-25,2011-12,LAL,CHI,1,0,36,76,4,16,11,20,17,87,12,30,early
0021100004,2011-12-25,2011-12,ORL,OKC,0,0,30,81,8,28,21,26,18,89,14,31,early
0021100004,2011-12-25,2011-12,OKC,ORL,1,1,34,72,10,19,19,26,17,97,7,36,early
0021100005,2011-12-25,2011-12,LAC,GSW,0,1,37,81,8,23,23,38,10,105,13,30,early
0021100005,2011-12-25,2011-12,GSW,LAC,1,0,32,82,5,21,17,24,16,86,17,31,early
0021100006,2011-12-26,2011-12,NJN,WAS,0,1,34,86,6,26,16,20,16,90,18,40,early
0021100006,2011-12-26,2011-12,WAS,NJN,1,0,31,74,1,7,21,34,12,84,8,31,early
0021100007,2011-12-26,2011-12,MIL,CHA,0,0,34,84,8,23,19,23,12,95,8,31,early
0021100007,2011-12-26,2011-12,CHA,MIL,1,1,38,86,4,19,16,21,16,96,15,37,early
0021100008,2011-12-26,2011-12,HOU,ORL,0,0,36,82,6,27,17,20,10,95,11,30,early
0021100008,2011-12-26,2011-12,ORL,HOU,1,1,44,83,9,22,7,10,11,104,6,29,early
0021100009,2011-12-26,2011-12,TOR,CLE,0,1,42,79,9,21,11,13,12,104,11,34,early
0021100009,2011-12-26,2011-12,CLE,TOR,1,0,35,85,6,20,20,28,7,96,15,22,early
0021100010,2011-12-26,2011-12,DET,IND,0,0,27,75,7,19,18,21,16,79,9,31,early
0021100010,2011-12-26,2011-12,IND,DET,1,1,32,87,7,15,20,25,11,91,18,35,early
0021100011,2011-12-26,2011-12,OKC,MIN,0,1,35,78,5,16,29,31,17,104,8,34,early
0021100011,2011-12-26,2011-12,MIN,OKC,1,0,39,87,3,22,19,26,12,100,10,30,early
0021100012,2011-12-26,2011-12,DEN,DAL,0,1,39,79,10,27,27,34,15,115,10,37,early
0021100012,2011-12-26,2011-12,DAL,DEN,1,0,32,76,8,27,21,27,20,93,5,32,early
0021100013,2011-12-26,2011-12,MEM,SAS,0,0,34,73,3,7,11,19,25,82,9,33,early
